万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,
300233.SZ,300233,20250506,91500000,0,0,0,0,0,,,0,0,0,0,0,157000,159100,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,159100,0,0,0,0,0,0,0,0,0,1800,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,91500000,0,0,0,0,0,,,0,0,0,0,0,157000,159100,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,159100,0,0,0,0,0,0,0,0,0,1800,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,91509000,0,0,0,0,0,,,0,0,0,0,0,157000,157200,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,157200,0,0,0,0,0,0,0,0,0,4000,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,91536000,0,0,0,0,0,,,0,0,0,0,0,157000,157000,0,0,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,157000,0,0,0,0,0,0,0,0,0,8400,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,91554000,0,0,0,0,0,,,0,0,0,0,0,157000,157000,0,0,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,157000,0,0,0,0,0,0,0,0,0,8400,5900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,91612000,0,0,0,0,0,,,0,0,0,0,0,157000,157200,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,157200,0,0,0,0,0,0,0,0,0,4000,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,91742000,0,0,0,0,0,,,0,0,0,0,0,157000,157200,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,157200,0,0,0,0,0,0,0,0,0,4000,8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,91836000,0,0,0,0,0,,,0,0,0,0,0,157000,157200,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,157200,0,0,0,0,0,0,0,0,0,4000,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,91948000,0,0,0,0,0,,,0,0,0,0,0,157000,157500,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,157500,0,0,0,0,0,0,0,0,0,4000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,92000000,0,0,0,0,0,,,0,0,0,0,0,157000,157500,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,157500,0,0,0,0,0,0,0,0,0,4000,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,92009000,0,0,0,0,0,,,0,0,0,0,0,157000,157500,0,0,0,0,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,0,157500,0,0,0,0,0,0,0,0,0,4300,6100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,92018000,0,0,0,0,0,,,0,0,0,0,0,157000,157500,0,0,0,0,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,0,157500,0,0,0,0,0,0,0,0,0,4300,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,92036000,0,0,0,0,0,,,0,0,0,0,0,157000,157500,0,0,0,0,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,0,157500,0,0,0,0,0,0,0,0,0,4300,16500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,92054000,0,0,0,0,0,,,0,0,0,0,0,157000,157500,0,0,0,0,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,0,157500,0,0,0,0,0,0,0,0,0,4300,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,92103000,0,0,0,0,0,,,0,0,0,0,0,157000,157500,0,0,0,0,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,0,157500,0,0,0,0,0,0,0,0,0,4300,36800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,92112000,0,0,0,0,0,,,0,0,0,0,0,157000,157500,0,0,0,0,0,0,0,0,0,4700,0,0,0,0,0,0,0,0,0,157500,0,0,0,0,0,0,0,0,0,4700,36400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300233.SZ,300233,20250506,92121000,0,0,0,0,0,,,0,0,0,0,0,157000,157500,0,0,0,0,0,0,0,0,0,4700,0,0,0,0,0,0,0,0,0,157500,0,0,0,0,0,0,0,0,0,4700,36700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
